fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
-1,100,45,{ref:1;type:hobby},Is {ref:1} difficult,{ref:1} 容 不 容易,{ref:1} róng bù róngyì,
-1,100,26,,Is she pretty?,她 是 漂 不 漂亮,tā shì piào bù piàoliang,
-1,100,31,{ref:1;type:day_relative}{ref:2;type:weather_adjective},Is {ref:1}'s weather {ref:2}?,{ref:1} 天气 {ref:2} 不 {ref:2},{ref:1} tiānqì {ref:2} bù {ref:2},
-1,100,15,,Who are you?,你 是 谁,nǐ shì shéi,
-1,100,23,,What is this?,这 是什么,zhè shì shénme,
-1,100,20,,What kind of food do you like?,你 喜欢 什么 菜,nǐ xǐhuān shénme cài,
-1,100,30,,What kind of computer do you use?,你 用 什么 电脑,nǐ yòng shénme diànnǎo,
-1,100,40,,What kind of website are you reading?,你 在 看 什么 网站,nǐ zài kàn shénme wǎngzhàn,
-1,100,21,,What kind of car does he drive?,他 开 什么 车,tā kāi shénme chē,
-1,100,47,,Where do you want to go this weekend?,这个 周末 你 想 去 哪儿,zhège zhōumò nǐ xiǎng qù nǎ'er,
-1,100,34,,Which one do they want?,他们 要 哪个,tāmen yào nǎge,
-1,100,27,,Which restaurant are we going to?,我们 去 哪个 饭店,wǒmen qù nǎge fàndiàn,
-1,100,32,,Which room is she in?,她 在 哪个 房间,tā zài nǎge fángjiān,
-1,100,27,,When will you return?,什么 时候 你 回来,shénme shíhòu nǐ huílái,
-1,100,42,,When does your all's airplane arrive?,你们 的 飞机 什么 时候 到,nǐmen de fēijī shénme shíhòu dào,
-1,100,30,,Why were you not here at noon?,你 中午 为什么 不 在,nǐ zhōngwǔ wèishéme bù zài,
-1,100,39,{ref:1;type:purchased_items},Why do you buy so many {ref:1}?,你 为什么 买 很多 {ref:1},nǐ wèishéme mǎi hěnduō {ref:1},
-1,100,25,,How are you going to go to work?,你 怎么 去 上班,nǐ zěnme qù shàngbān,
-1,100,17,{ref:1;type:weather_noun},Is it raining today,今天 {ref:1} 吗,jīntiān {ref:1} ma,
-1,100,50,{ref:1;type:pronoun},Don't tell {ref:1}; okay?,不要 告诉 {ref:1} ; 好 吗,bùyào gàosù {ref:1} ; hǎo ma,
-1,100,58,{ref:1;type:acquaintance},You have met my {ref:1}; right?,你 见 过 我 的 {ref:1} ; 对 吗,nǐ jiàn guò wǒ de {ref:1} ; duì ma,
-1,100,43,,Mister; want-not-want rice?,先生 ; 要 不要 米饭,xiānshēng ; yào bùyào mǐfàn,
