fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
-1,8,200,,0,0,0,
-1,8,200,,1,1,1,
-1,8,200,,2,2,2,
-1,8,200,,3,3,3,
-1,8,200,,4,4,4,
-1,8,200,,5,5,5,
-1,8,200,,6,6,6,
-1,8,200,,7,7,7,
-1,8,200,,8,8,8,
-1,8,200,,9,9,9,
-1,8,200,,10,10,10,
-1,8,200,,11,11,11,
-1,8,200,,12,12,12,
-1,8,200,,13,13,13,
-1,8,200,,14,14,14,
-1,8,200,,15,15,15,
-1,8,200,,16,16,16,
-1,8,200,,17,17,17,
-1,8,200,,18,18,18,
-1,8,200,,19,19,19,
-1,8,200,,20,20,20,
-1,8,200,,21,21,21,
-1,8,200,,22,22,22,
-1,8,200,,23,23,23,
-1,8,200,,24,24,24,
-1,8,200,,25,25,25,
-1,8,200,,26,26,26,
-1,8,200,,27,27,27,
-1,8,200,,28,28,28,
-1,8,200,,29,29,29,
-1,8,200,,30,30,30,
-1,8,200,,31,31,31,
-1,8,200,,32,32,32,
-1,8,200,,33,33,33,
-1,8,200,,34,34,34,
-1,8,200,,35,35,35,
-1,8,200,,36,36,36,
-1,8,200,,37,37,37,
-1,8,200,,38,38,38,
-1,8,200,,39,39,39,
-1,8,200,,40,40,40,
-1,8,200,,41,41,41,
-1,8,200,,42,42,42,
-1,8,200,,43,43,43,
-1,8,200,,44,44,44,
-1,8,200,,45,45,45,
-1,8,200,,46,46,46,
-1,8,200,,47,47,47,
-1,8,200,,48,48,48,
-1,8,200,,49,49,49,
-1,8,200,,50,50,50,
-1,8,200,,51,51,51,
-1,8,200,,52,52,52,
-1,8,200,,53,53,53,
-1,8,200,,54,54,54,
-1,8,200,,55,55,55,
-1,8,200,,56,56,56,
-1,8,200,,57,57,57,
-1,8,200,,58,58,58,
-1,8,200,,59,59,59,
-1,8,200,,60,60,60,
-1,8,200,,61,61,61,
-1,8,200,,62,62,62,
-1,8,200,,63,63,63,
-1,8,200,,64,64,64,
-1,8,200,,65,65,65,
-1,8,200,,66,66,66,
-1,8,200,,67,67,67,
-1,8,200,,68,68,68,
-1,8,200,,69,69,69,
-1,8,200,,70,70,70,
-1,8,200,,71,71,71,
-1,8,200,,72,72,72,
-1,8,200,,73,73,73,
-1,8,200,,74,74,74,
-1,8,200,,75,75,75,
-1,8,200,,76,76,76,
-1,8,200,,77,77,77,
-1,8,200,,78,78,78,
-1,8,200,,79,79,79,
-1,8,200,,80,80,80,
-1,8,200,,81,81,81,
-1,8,200,,82,82,82,
-1,8,200,,83,83,83,
-1,8,200,,84,84,84,
-1,8,200,,85,85,85,
-1,8,200,,86,86,86,
-1,8,200,,87,87,87,
-1,8,200,,88,88,88,
-1,8,200,,89,89,89,
-1,8,200,,90,90,90,
-1,8,200,,91,91,91,
-1,8,200,,92,92,92,
-1,8,200,,93,93,93,
-1,8,200,,94,94,94,
-1,8,200,,95,95,95,
-1,8,200,,96,96,96,
-1,8,200,,97,97,97,
-1,8,200,,98,98,98,
-1,8,200,,99,99,99,
-1,8,200,,100,100,100,
