fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
country_name.USA,1,200,,9525,9525,9525,
country_name.China,1,200,,9572,9572,9572,
country_name.France,1,200,,675,675,675,
country_name.Germany,1,200,,357,357,357,
country_name.Ireland,1,200,,71,71,71,
country_name.Italy,1,200,,301,301,301,
country_name.Brazil,1,200,,8515,8515,8515,
country_name.Egypt,1,200,,1001,1001,1001,
country_name.India,1,200,,3287,3287,3287,
country_name.Japan,1,200,,377,377,377,
country_name.North Korea,1,200,,120,120,120,
country_name.South Korea,1,200,,98,98,98,
country_name.Mexico,1,200,,1972,1972,1972,
country_name.Russia,1,200,,17098,17098,17098,
country_name.Spain,1,200,,504,504,504,
country_name.Canada,1,200,,9976,9976,9976,
country_name.United Kingdom,1,200,,243,243,243,
