fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
pronoun.I,100,10,,am,很,hěn,
pronoun.You,100,10,,are,很,hěn,
pronoun.He,100,10,,is,很,hěn,
pronoun.She,100,10,,is,很,hěn,
pronoun.We,100,10,,are,很,hěn,
pronoun.You all,100,10,,are,很,hěn,
pronoun.They,100,10,,are,很,hěn,
pronoun.I,100,10,,am not,不,bù,
pronoun.You,100,10,,are not,不,bù,
pronoun.He,100,10,,is not,不,bù,
pronoun.She,100,10,,is not,不,bù,
pronoun.We,100,10,,are not,不,bù,
pronoun.You all,100,10,,are not,不,bù,
pronoun.They,100,10,,are not,不,bù,
