fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
food_type.fruit,100,10,,apple,苹果,píngguǒ,
food_type.fruit,100,30,,banana,香蕉,xiāngjiāo,
food_type.fruit,100,48,,dragon fruit,火龙果,huǒlóng guǒ,
food_type.fruit,100,54,,blackberry,黑莓,hēiméi,
food_type.fruit,100,60,,blueberry,蓝莓,lánméi,
food_type.fruit,100,70,,cherry,樱桃,yīngtáo,
food_type.fruit,100,40,,grape,葡萄,pútáo,
food_type.fruit,100,70,,lemon,柠檬,níngméng,
food_type.fruit,100,42,,mango,芒果,mángguǒ,
food_type.fruit,100,42,,orange,橙子,chéngzi,
food_type.fruit,100,50,,peach,桃,táo,
food_type.fruit,100,18,,pear,李,lǐ,
food_type.fruit,100,70,,pineapple,菠萝,bōluó,
food_type.fruit,100,60,,strawberry,草莓,cǎoméi,
food_type.fruit,100,20,,watermelon,西瓜,xīguā,
food_type.fruit,100,42,,avocado,牛油果,niúyóuguǒ,
