fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
gender.male,100,48,,Zhang Wei,张伟,zhāng wěi,
gender.male,100,60,,Wang Wei,王伟,wáng wěi,
gender.female,100,230,,Wang Fang,王芳,wáng fāng,
gender.male,100,48,,Li Wei,李伟,lǐ wěi,
gender.female,100,84,,Wang Xiuying,王 秀英,wángxiùyīng,
gender.female,100,72,,Li Xiuying,李秀英,lǐxiùyīng,
gender.female,100,218,,Li Na,李娜,lǐnà,
gender.female,100,69,,Zhang Xiu Ying,张 秀英,zhāngxiùyīng,
gender.male,100,200,,Liu Wei,刘伟,liú wěi,
gender.female,100,48,,Zhang Min,张敏,zhāng mǐn,
gender.female,100,36,,Li Jing,李静,lǐ jìng,
gender.female,100,42,,Zhang Li,张丽,zhāng lì,
gender.female,100,48,,Wang Jing,王静,wáng jìng,
gender.female,100,54,,Wang Li,王丽,wáng lì,
gender.male,100,48,,Li Qiang,李强,lǐqiáng,
gender.female,100,36,,Zhang Jing,张静,zhāng jìng,
gender.female,100,48,,Li Min,李敏,lǐ mǐn,
gender.female,100,60,,Wang Min,王敏,wáng mǐn,
gender.male,100,230,,Wang lei,王磊,wánglěi,
gender.male,100,48,,Li Jun,李军,lǐ jūn,
gender.female,100,200,,Liu Yang,刘洋,liúyáng,
gender.male,100,54,,Wang Yong,王勇,wáng yǒng,
gender.male,100,42,,Zhang Yong,张勇,zhāng yǒng,
gender.female,100,60,,Wang Yan,王艳,wáng yàn,
gender.female,100,48,,Zhang Min,张敏,zhāng mǐn,
gender.male,100,224,,Jason Faas,富贾森,fù jiǎsēn,
